Ontology ID,Replacement Term,Obsolete
ID,AI http://purl.obolibrary.org/obo/IAO_0100001,AT owl:deprecated^^xsd:boolean
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000234,http://purl.obolibrary.org/obo/ZECO_0000234,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000235,http://purl.obolibrary.org/obo/ZECO_0000235,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000236,http://purl.obolibrary.org/obo/ZECO_0000236,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000237,http://purl.obolibrary.org/obo/ZECO_0000237,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000238,http://purl.obolibrary.org/obo/ZECO_0000238,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000239,http://purl.obolibrary.org/obo/ZECO_0000239,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000240,http://purl.obolibrary.org/obo/ZECO_0000240,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000241,http://purl.obolibrary.org/obo/ZECO_0000241,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000242,http://purl.obolibrary.org/obo/ZECO_0000242,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000243,http://purl.obolibrary.org/obo/ZECO_0000243,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000244,http://purl.obolibrary.org/obo/ZECO_0000244,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000245,http://purl.obolibrary.org/obo/ZECO_0000245,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000246,http://purl.obolibrary.org/obo/ZECO_0000246,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000247,http://purl.obolibrary.org/obo/ZECO_0000247,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000248,http://purl.obolibrary.org/obo/ZECO_0000248,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000249,http://purl.obolibrary.org/obo/ZECO_0000249,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000250,http://purl.obolibrary.org/obo/ZECO_0000250,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000251,http://purl.obolibrary.org/obo/ZECO_0000251,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000252,http://purl.obolibrary.org/obo/ZECO_0000252,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000253,http://purl.obolibrary.org/obo/ZECO_0000253,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000254,http://purl.obolibrary.org/obo/ZECO_0000254,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000255,http://purl.obolibrary.org/obo/ZECO_0000255,1
http://purl.obolibrary.org/obo/zeco.owl/ZECO_0000256,http://purl.obolibrary.org/obo/ZECO_0000256,1
http://www.semanticweb.org/yvonne/ontologies/2016/4/untitled-ontology-163/ZECO_0000100,http://purl.obolibrary.org/obo/ZECO_0000100,1
